Row Labels,Sum of Total Exports Value ($US),,,
2019,6.57E+11,,,
2020,5.53E+11,,,
2021 through July,4.09E+11,,,
US Virgin Islands,37088948382,,,
2002,516475268,,,
2003,531528020,,,
2004,752935114,,,
2005,1153790182,,,
2006,1169727620,,,
2007,1616679494,,,
2008,5494678350,,,
2009,2434006268,,,
2010,3797001226,,,
2011,4631541778,,,
2012,1734774242,,,
2013,1994885104,,,
2014,2810597656,,,
2015,298594682,,,
2016,592933980,,,
2017,1969965918,,,
2018,1240018782,,,
2019,1365390222,,,
2020,1153016890,,,
2021 through July,1830407586,,,
Utah,4.65E+11,,,
2002,9083212388,,,
2003,8238570910,,,
2004,9462216678,,,
2005,12134078060,,,
2006,13601370540,,,
2007,15629046968,,,
2008,20611985062,,,
2009,20674270062,,,
2010,27616954494,,,
2011,37936511870,,,
2012,38519823762,,,
2013,32222372172,,,
2014,24448204364,,,
2015,26615275534,,,
2016,24155269300,,,
2017,23166528672,,,
2018,28780067852,,,
2019,34679771252,,,
2020,35348034152,,,
2021 through July,22361925174,,,
Vermont,1.33E+11,,,
2002,5045680112,,,
2003,5253762974,,,
2004,6682590278,,,
2005,9344189586,,,
2006,7748199440,,,
2007,7369840540,,,
2008,7394823864,,,
2009,6438541312,,,
2010,8556274326,,,
2011,8549108388,,,
2012,8278384612,,,
2013,8053079090,,,
2014,7339211298,,,
2015,6352707488,,,
2016,5986139822,,,
2017,5552971164,,,
2018,5840989690,,,
2019,5683281988,,,
2020,4714671688,,,
2021 through July,3094079972,,,
Virginia,6.31E+11,,,
2002,21618293922,,,
2003,21684695012,,,
2004,23344595214,,,
2005,24476706728,,,
2006,28309886214,,,
2007,33728939808,,,
2008,37883217422,,,
2009,30104182068,,,
2010,34337127636,,,
2011,36249426412,,,
2012,36553901468,,,
2013,35792261212,,,
2014,38781581338,,,
2015,35602163852,,,
2016,32621314548,,,
2017,33015943066,,,
2018,36672889650,,,
2019,35651012256,,,
2020,32785322454,,,
